using cuda device
current class:obj1
loss:0.279783  heatmap_loss:0.243224  contour_loss:0.036559
loss:0.132777  heatmap_loss:0.114376  contour_loss:0.018402
Time cost:1116.1419277191162
LR:0.1
Epoch: 01, Loss: 0.4717
current class:obj1
loss:0.170832  heatmap_loss:0.149144  contour_loss:0.021688
loss:0.224398  heatmap_loss:0.194672  contour_loss:0.029725
loss:0.185235  heatmap_loss:0.164012  contour_loss:0.021223
loss:0.135485  heatmap_loss:0.118553  contour_loss:0.016931
loss:0.167745  heatmap_loss:0.141848  contour_loss:0.025896
loss:0.189243  heatmap_loss:0.161397  contour_loss:0.027846
loss:0.157584  heatmap_loss:0.135994  contour_loss:0.021590
loss:0.151292  heatmap_loss:0.128697  contour_loss:0.022595
loss:0.141590  heatmap_loss:0.121343  contour_loss:0.020247
loss:0.122297  heatmap_loss:0.103984  contour_loss:0.018313
loss:0.282575  heatmap_loss:0.236926  contour_loss:0.045649
loss:0.146884  heatmap_loss:0.129383  contour_loss:0.017501
loss:0.235629  heatmap_loss:0.203382  contour_loss:0.032247
loss:0.181972  heatmap_loss:0.158970  contour_loss:0.023002
loss:0.148721  heatmap_loss:0.129433  contour_loss:0.019287
loss:0.101903  heatmap_loss:0.086774  contour_loss:0.015129
loss:0.178122  heatmap_loss:0.157288  contour_loss:0.020834
loss:0.151964  heatmap_loss:0.134873  contour_loss:0.017091
loss:78.200729  heatmap_loss:78.087257  contour_loss:0.113473
loss:1.606514  heatmap_loss:1.515342  contour_loss:0.091172
loss:0.300709  heatmap_loss:0.261811  contour_loss:0.038898
loss:1.315496  heatmap_loss:1.268891  contour_loss:0.046605
loss:0.177087  heatmap_loss:0.140750  contour_loss:0.036337
loss:0.397384  heatmap_loss:0.324206  contour_loss:0.073178
loss:0.229238  heatmap_loss:0.183972  contour_loss:0.045266
loss:0.585726  heatmap_loss:0.530051  contour_loss:0.055675
loss:0.334918  heatmap_loss:0.268631  contour_loss:0.066288
loss:0.168270  heatmap_loss:0.139589  contour_loss:0.028681
loss:0.288032  heatmap_loss:0.252986  contour_loss:0.035046
loss:0.121487  heatmap_loss:0.104103  contour_loss:0.017384
loss:0.160598  heatmap_loss:0.136565  contour_loss:0.024032
loss:0.214940  heatmap_loss:0.186422  contour_loss:0.028518
loss:0.194578  heatmap_loss:0.166524  contour_loss:0.028054
loss:0.198764  heatmap_loss:0.159677  contour_loss:0.039087
loss:0.161074  heatmap_loss:0.140017  contour_loss:0.021058
loss:0.265354  heatmap_loss:0.221216  contour_loss:0.044139
loss:0.309905  heatmap_loss:0.265737  contour_loss:0.044169
loss:0.358584  heatmap_loss:0.336378  contour_loss:0.022205
loss:0.253111  heatmap_loss:0.214670  contour_loss:0.038442
loss:0.232350  heatmap_loss:0.204828  contour_loss:0.027523
loss:0.380051  heatmap_loss:0.335408  contour_loss:0.044643
loss:0.764754  heatmap_loss:0.724403  contour_loss:0.040350
loss:0.161499  heatmap_loss:0.144590  contour_loss:0.016909
loss:0.354956  heatmap_loss:0.339317  contour_loss:0.015638
loss:0.183534  heatmap_loss:0.163455  contour_loss:0.020080
loss:1.106057  heatmap_loss:1.057403  contour_loss:0.048654
loss:0.250454  heatmap_loss:0.209214  contour_loss:0.041241
loss:0.366164  heatmap_loss:0.323972  contour_loss:0.042192
loss:0.308688  heatmap_loss:0.284533  contour_loss:0.024154
loss:0.230128  heatmap_loss:0.205337  contour_loss:0.024792
loss:0.602489  heatmap_loss:0.565632  contour_loss:0.036857
loss:0.229985  heatmap_loss:0.205608  contour_loss:0.024377
loss:0.410741  heatmap_loss:0.382539  contour_loss:0.028202
loss:1.010252  heatmap_loss:0.995306  contour_loss:0.014946
loss:0.290497  heatmap_loss:0.267156  contour_loss:0.023340
loss:0.903452  heatmap_loss:0.872284  contour_loss:0.031168
loss:1.043109  heatmap_loss:1.023961  contour_loss:0.019147
loss:0.298860  heatmap_loss:0.265127  contour_loss:0.033733
loss:27.404974  heatmap_loss:27.344053  contour_loss:0.060921
loss:0.337423  heatmap_loss:0.280494  contour_loss:0.056929
loss:0.305229  heatmap_loss:0.237126  contour_loss:0.068102
loss:0.209708  heatmap_loss:0.155207  contour_loss:0.054501
loss:0.124254  heatmap_loss:0.092877  contour_loss:0.031378
loss:0.183338  heatmap_loss:0.149547  contour_loss:0.033791
loss:0.134016  heatmap_loss:0.110408  contour_loss:0.023607
loss:0.248201  heatmap_loss:0.196198  contour_loss:0.052003
loss:0.104246  heatmap_loss:0.084279  contour_loss:0.019967
loss:0.129599  heatmap_loss:0.104926  contour_loss:0.024673
loss:2.549464  heatmap_loss:2.514687  contour_loss:0.034777
loss:0.310514  heatmap_loss:0.234481  contour_loss:0.076033
loss:0.161592  heatmap_loss:0.134000  contour_loss:0.027592
loss:0.306610  heatmap_loss:0.279360  contour_loss:0.027250
loss:0.833662  heatmap_loss:0.807663  contour_loss:0.026000
loss:0.238644  heatmap_loss:0.190007  contour_loss:0.048637
loss:0.140243  heatmap_loss:0.113999  contour_loss:0.026245
loss:0.156814  heatmap_loss:0.133376  contour_loss:0.023439
loss:0.222745  heatmap_loss:0.201242  contour_loss:0.021503
loss:0.143046  heatmap_loss:0.119577  contour_loss:0.023469
loss:0.315100  heatmap_loss:0.285407  contour_loss:0.029693
loss:0.292287  heatmap_loss:0.245002  contour_loss:0.047285
loss:0.154245  heatmap_loss:0.133659  contour_loss:0.020586
loss:9.703920  heatmap_loss:9.634719  contour_loss:0.069201
loss:2.837592  heatmap_loss:2.790866  contour_loss:0.046726
loss:0.197592  heatmap_loss:0.159931  contour_loss:0.037661
loss:0.265101  heatmap_loss:0.197225  contour_loss:0.067876
loss:0.218301  heatmap_loss:0.157321  contour_loss:0.060980
loss:0.261163  heatmap_loss:0.206113  contour_loss:0.055050
loss:0.155420  heatmap_loss:0.123193  contour_loss:0.032227
loss:0.220394  heatmap_loss:0.176136  contour_loss:0.044258
loss:0.205696  heatmap_loss:0.151198  contour_loss:0.054499
loss:0.254169  heatmap_loss:0.215056  contour_loss:0.039113
